"year","location","n","longitude","latitude"
1877,"Prospect Harbor",2,-68.02456023,44.41062098
1877,"Rockland",4,-69.10869077,44.1041007
1877,"Stave Island",4,-70.0875475,43.7159161
1877,"Thacher Island",1,-70.576309,42.637592
1877,"West Gouldsboro",3,-68.09937127,44.46922347
1877,"Winter Harbor",85,-68.09811741,44.39116851
1879,"Bar Harbor",12,-68.212219,44.387699
1879,"Birch Harbor",5,-68.0398754,44.3893677
1879,"Cherryfield",1,-67.926,44.607
1879,"Cranberry Isles",1,-68.27013482,44.2585131
1879,"Ellsworth",8,-68.42420475,44.54105229
1879,"Iron Bound",1,-68.133407,44.39197
1879,"Mark Island",1,-68.088018,44.362014
1879,"Prospect Harbor",9,-68.02456023,44.41062098
1879,"South Gouldsboro",14,-68.109596,44.42952
1879,"Southwest Harbor",1,-68.324276961999,44.2792004289633
1879,"Steuben",4,-67.961732,44.505209
1879,"Trenton",1,-68.37023,44.43928
1879,"Turtle Island",3,-70.03422,44.43423
1879,"West Gouldsboro",48,-68.09937127,44.46922347
1879,"Winter Harbor",257,-68.09811741,44.39116851
1880,"Birch Harbor",3,-68.0398754,44.3893677
1880,"Cherryfield",1,-67.926,44.607
1880,"Egg Rock",2,-68.138067,44.354544
1880,"Ellsworth",2,-68.42420475,44.54105229
1880,"Gouldsboro",1,-68.03461,44.485087
1880,"Iron Bound",1,-68.133407,44.39197
1880,"Mark Island",1,-68.088018,44.362014
1880,"Prospect Harbor",7,-68.02456023,44.41062098
1880,"South Gouldsboro",8,-68.109596,44.42952
1880,"Spectacle Island",1,-67.040814,44.920635
1880,"Stave Island",3,-70.0875475,43.7159161
1880,"Steuben",1,-67.961732,44.505209
1880,"West Gouldsboro",10,-68.09937127,44.46922347
1880,"Winter Harbor",295,-68.09811741,44.39116851
1881,"Bar Harbor",1,-68.212219,44.387699
1881,"Boon Island",1,-70.47166478,43.11916619
1881,"Boston Harbor",20,-70.97553,42.337638
1881,"Bunkers Harbor",1,-68.032890578085,44.3732689930884
1881,"Calais",2,-67.282753,45.188042
1881,"Cape Elizabeth",1,-70.20005,43.563698
1881,"Fox Islands",2,-68.8639267338772,44.1465638197881
1881,"Fox Islands",2,-69.7919898,43.7306406
1881,"Franklin",1,-68.225999096,44.585497658
1881,"Gloucester",9,-70.66199,42.61593
1881,"Isles of Shoals",1,-70.606830906,42.975496098
1881,"Little River",2,-67.2021180472245,44.6526698980649
1881,"Long Island",1,-73.3,40.8
1881,"Portland",1,-70.310425,43.680031
1881,"Portsmouth",2,-70.762245,43.071568
1881,"Prospect Harbor",1,-68.02456023,44.41062098
1881,"South Gouldsboro",3,-68.109596,44.42952
1881,"Spectacle Island",1,-67.040814,44.920635
1881,"Thacher Island",2,-70.576309,42.637592
1881,"West Gouldsboro",3,-68.09937127,44.46922347
1881,"Winter Harbor",161,-68.09811741,44.39116851
1881,"Wood Island",1,-70.3332596098111,43.4579679566059
1881,"York",1,-70.6440677808301,43.1621847847379
1882,"Baker Island",8,-68.1924325636,44.2382157138
1882,"Bass Harbor",5,-68.34644791,44.23879938
1882,"Boon Island",4,-70.47166478,43.11916619
1882,"Boothbay",4,-69.633497466,43.87249651
1882,"Boston",27,-71.057083,42.361145
1882,"Boston Harbor",1,-70.97553,42.337638
1882,"Brooklyn",3,-73.949997,40.650002
1882,"Calais",3,-67.282753,45.188042
1882,"Cape Elizabeth",3,-70.20005,43.563698
1882,"Channel Rock",1,-68.8136409,44.2134129
